topic_index,topic_id,topic_title,tag_id,tag_name,is_new,question_index,question_id,part,question
1,1230,发小,18,人物,1,1,3556,2,Describe a friend from your childhood You should say: Who he/she is Where you met each other What you often did together And explain what made you like him/her
1,1230,发小,18,人物,1,2,3555,3,What do you think of online social media?
1,1230,发小,18,人物,1,3,3554,3,Do you still keep in touch with your friends from childhood? Why or why not?
1,1230,发小,18,人物,1,4,3553,3,How important is childhood friendship to children?
1,1230,发小,18,人物,1,5,3552,3,What do you think of communicating via social media?
1,1230,发小,18,人物,1,6,3551,3,Do you use a lot of emojis online?
1,1230,发小,18,人物,1,7,3550,3,Do you think online communication through social media will replace face-to-face communication?
2,1185,交通拥堵,20,事件,1,1,3454,2,Describe a time when you were stuck in a traffic jam You should say: When it happened Where you were stuck What you did while waiting And explain how you felt in the traffic jam
2,1185,交通拥堵,20,事件,1,2,3450,3,How can we solve the traffic jam problem?
2,1185,交通拥堵,20,事件,1,3,3451,3,Do you think developing public transportation can solve traffic jam problems?
2,1185,交通拥堵,20,事件,1,4,3452,3,Do you think highways can help reduce traffic jams?
2,1185,交通拥堵,20,事件,1,5,3453,3,What are some effective ways to manage traffic?
2,1185,交通拥堵,20,事件,1,6,6235,3,Would you rather be in a car or a bus in a traffic jam?
2,1185,交通拥堵,20,事件,1,7,6234,3,Do you like to use public transport?
3,1117,语言学习,20,事件,1,1,3273,2,Describe something that helped you learn a language You should say What it is What language you learned How it helped you learn the language And how you felt about it
3,1117,语言学习,20,事件,1,2,3269,3,What difficulties do people face when learning a language?
3,1117,语言学习,20,事件,1,3,3270,3,Do you think language learning is important? Why?
3,1117,语言学习,20,事件,1,4,3271,3,"Which is better, to study alone or to study in a group? Why?"
3,1117,语言学习,20,事件,1,5,3272,3,What’s the best way to learn a language?
4,1101,收到特殊蛋糕,20,事件,1,1,3230,2,Describe a special cake you received from others You should say When it happened Where it happened Who you got the cake from And explain why it’s a special cake
4,1101,收到特殊蛋糕,20,事件,1,2,3229,3,Do you think it’s good to communicate when eating with your family?
4,1101,收到特殊蛋糕,20,事件,1,3,3228,3,Why are some people willing to spend a lot of money on meals or special days?
4,1101,收到特殊蛋糕,20,事件,1,4,5344,3,Is there any food in your country that is eaten at special times or on special occasions?
4,1101,收到特殊蛋糕,20,事件,1,5,3226,3,What are the difference between special food in China and foreign countries?
4,1101,收到特殊蛋糕,20,事件,1,6,6120,3,"In your country, do people nowadays cook at home as frequently as people did in the past?"
4,1101,收到特殊蛋糕,20,事件,1,7,3227,3,Do people usually cook special food in China?
5,185,重要河流/湖泊,19,事物,1,1,678,2,Describe an important river/lake in your country You should say: Where it is located How big/long it is What it looks like And explain why it is important
5,185,重要河流/湖泊,19,事物,1,2,672,3,How can rivers/lakes benefit local people?
5,185,重要河流/湖泊,19,事物,1,3,673,3,Do you think rivers/lakes attract tourists?
5,185,重要河流/湖泊,19,事物,1,4,676,3,How do rivers and lakes affect local tourism?
5,185,重要河流/湖泊,19,事物,1,5,677,3,Are rivers and lakes good for transport?
5,185,重要河流/湖泊,19,事物,1,6,675,3,Do you think rivers and lakes attract tourists?
5,185,重要河流/湖泊,19,事物,1,7,671,3,Do people in your country go swimming in their spare time?
5,185,重要河流/湖泊,19,事物,1,8,670,3,Is it necessary for everyone to learn swimming?
5,185,重要河流/湖泊,19,事物,1,9,668,3,Do people like the rivers in your country?
6,182,花费甚少的外出日,20,事件,1,1,657,2,Describe a special day out that cost you little money/didn’t cost you much You should say: When was the day Where you went How much you spent And explain how you feel about the day
6,182,花费甚少的外出日,20,事件,1,2,652,3,Do people like to spend their leisure time outside in your country?
6,182,花费甚少的外出日,20,事件,1,3,653,3,How do people spend their leisure time in China?
6,182,花费甚少的外出日,20,事件,1,4,654,3,How does technology affect the way people spend their leisure time?
6,182,花费甚少的外出日,20,事件,1,5,655,3,Do you think only old people have time for leisure?
6,182,花费甚少的外出日,20,事件,1,6,6269,3,Going out to have holidays is tiring. Why do people still want to do it?
6,182,花费甚少的外出日,20,事件,1,7,6268,3,Why do people like to have days off?
6,182,花费甚少的外出日,20,事件,1,8,6267,3,How do people spend their leisure time in your country?
6,182,花费甚少的外出日,20,事件,1,9,651,3,Is it possible to buy something from a physical store without money?
6,182,花费甚少的外出日,20,事件,1,10,650,3,Why is online shopping so popular these days?
6,182,花费甚少的外出日,20,事件,1,11,649,3,Have you ever had a bad shopping experience?
6,182,花费甚少的外出日,20,事件,1,12,648,3,How can people save as much money as possible?
6,182,花费甚少的外出日,20,事件,1,13,647,3,Do teenagers spend more money than they used to?
7,1920,想要颁布的环保法律,20,事件,1,1,6278,2,Describe an environmental law you would like your country to introduce You should say: What law it should be Why people should follow the law Whether the law will be popular And explain how you feel about this law
7,1920,想要颁布的环保法律,20,事件,1,2,6282,3,What environmentallaws does your country already have?
7,1920,想要颁布的环保法律,20,事件,1,3,6281,3,Will there be a law that is universally accepted?
7,1920,想要颁布的环保法律,20,事件,1,4,6280,3,What kinds of rules do schools in China have?
7,1920,想要颁布的环保法律,20,事件,1,5,6279,3,How does technology affect the law?
8,1913,别人帮助解决问题,20,事件,1,1,6270,2,Describe a time when a person did something tohelp you solve a problem You should say: Who the person is What the problem was How he/she helped you And explain how you felt about the experience
8,1913,别人帮助解决问题,20,事件,1,2,6271,3,How important is it for schools to help children pecome smarter?
9,1912,包含动物的故事或书,19,事物,1,1,6254,2,Describe a story/book with animals in it You should say: What animals are in it What the story/book is about Why you read the story/book And explain what you think of this story/book
9,1912,包含动物的故事或书,19,事物,1,2,6260,3,Why do people always tell children stories with animals?
9,1912,包含动物的故事或书,19,事物,1,3,6259,3,What are the advantages of keeping a pet?
9,1912,包含动物的故事或书,19,事物,1,4,6258,3,Do many people keep pets in your country?
9,1912,包含动物的故事或书,19,事物,1,5,6257,3,Many people regard pets as members of thei family. What do you think?
9,1912,包含动物的故事或书,19,事物,1,6,6256,3,Some people think pets should not be kept in cities. What do you think?
9,1912,包含动物的故事或书,19,事物,1,7,6255,3,Should schools teach children about animals?
10,1911,很久没收到回复的信息,20,事件,1,1,6253,2,Describe a time when you sent a message or anemail to someone but received no reply for a longtime You should say: Who you sent it to What the message/email was about Whether you finally received the reply And explain how you felt about the experience
10,1911,很久没收到回复的信息,20,事件,1,2,6266,3,Why do some people feel angry when others don't reply to their message?
10,1911,很久没收到回复的信息,20,事件,1,3,6265,3,How do you show your respect in your messages?
10,1911,很久没收到回复的信息,20,事件,1,4,6264,3,Why do some people prefer sending a messageinstead of making a call?
10,1911,很久没收到回复的信息,20,事件,1,5,6263,3,What would you do if you did not receive a reply after sending out a message?
10,1911,很久没收到回复的信息,20,事件,1,6,6262,3,In what situations do people not respond to messages at all?
10,1911,很久没收到回复的信息,20,事件,1,7,6261,3,In what situations do people spend a long time responding to others' messages?
11,1909,组织快乐活动,20,事件,1,1,6243,2,Describe a time when you organized a happy eventsuccessfully You should say What the event was How you prepared for it Who helped you to organize it And explain why you think it was a successful event
11,1909,组织快乐活动,20,事件,1,2,6252,3,Do you prefer to prepare and organize an activity or just take part in an activity?
