topic_index,topic_id,topic_title,tag_id,tag_name,level,is_new,topic_is_show,question_index,question_id,part,question_is_show,content
1,1919,新法律 + 重要决定 + 动物故事书 + 困难后成功的人,19,事物,0,1,1,1,6277,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
2,1918,无聊地方 + 科技问题 + 近期看的节目 + 花很久回信息,19,事物,0,1,1,1,6276,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
3,1917,高建筑 + 特别场合食物 + 喜欢拜访但不想住的家 + 改变重要想法,19,事物,0,1,1,1,6275,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
4,1916,喜欢种菜的人 + 团队中工作 + 名人广告 + 坏掉的电子设备,18,人物,0,1,1,1,6274,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
5,1915,最喜欢的城市 + 想旅游的地方 + 喜欢现场体育赛事 + 推荐旅行过的地方,21,地点,0,1,1,1,6273,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
6,1914,发小 + 早起经历 + 近期改变的计划 + 别人帮助解决问题 + 长久目标,18,人物,0,1,1,1,6272,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
7,1150,童年玩具/生活中离不开的东西,19,事物,1,0,1,1,3353,4,1,童年玩具 Describe the toy you played with as a child You should say: What it was What it was like How you played with it And explain why you played with it 生活中离不开的东西 Describe something that you can't live without (not a computer/phone) You should say: What it is What you do with it How it helps you in your life And explain why you can't live without it
8,1142,远距离步行/想共度时光的人/计划多人活动/照片/美丽天空/户外运动的地方,18,人物,1,0,1,1,3336,4,1,远距离步行/想共度时光的人/计划多人活动/照片/美丽天空/户外运动的地方 Describe an outdoor sport you would like to do Describe a photo that you enjoy looking at Describe a time when you and some other people made a plan to do an activity Describe a beautiful sky you enjoyed seeing Describe a place you went to and an outdoor activity you did there
9,1879,给别人建议 + 擅长做计划的人 + 乐于助人的人+ 鼓励保护自然的人,18,人物,1,0,1,1,6092,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
10,1878,自行车/摩托车/汽车旅行 + 外国的短期停留 + 想见的名人 + 花费超过预期的物品,20,事件,1,0,1,1,6091,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
